"uk_cue","uk_fake_cue","uk_target","uk_fake_target","en_cue","en_target"
"читання","читатья","написання","написакся","reading","writing"
"наречений","надичений","наречена","насмчена","groom","bride"
"країна","кргіна","народ","налад","country","nation"
"ювілей","тлілей","народження","тородження","anniversary","birthday"
"фактично","наспівати","насправді","наспівати","actually","really"
"надихати","авдихати","натхнення","навпнення","inspire","inspiration"
"технологія","технутогія","наука","наваа","technology","science"
"ризик","ричнк","небезпека","небеолека","risk","danger"
"ризикований","ритькований","небезпечний","небезпткний","risky","dangerous"
"небо","нейб","небесний","неберёий","sky","heavenly"
"анонімний","анонвкний","невідомий","невіробив","anonymous","unknown"
"позитивний","помнтивний","негативний","вигативний","positive","negative"
"субота","суціта","неділя","неапля","Saturday","Sunday"
"нездатність","неопасность","нездатний","нестатній","inability","unable"
"незручний","незрсений","неприємний","неприємств","uncomfortable","unpleasant"
"стурбований","стоїбований","нервовий","неітовий","worried","nervous"
"раптом","райром","несподівано","несподамано","suddenly","unexpectedly"
"неправедність","неправедместь","несправедливість","неприветствовать","injustice","unfair"
"бідність","біднойть","нещастя","нещавія","poverty","misery"
"нещасний","неросний","нещастя","нещавія","unfortunate","misfortune"
"просто","просує","нещодавно","неукдавно","just","recently"
"м'який","фмякий","ніжний","фржний","soft","gentle"
"марний","максий","нікчемний","ніоземний","useless","worthless"
"канал","кадом","новини","новиро","channel","news"
"меч","лмч","ніж","ояж","sword","knife"
"здоровий","здртовий","нормальний","нормалский","healthy","normal"
"рот","мут","нос","анс","mouth","nose"
"діарея","діарог","нудота","нуткта","diarrhea","nausea"
"скарга","скаріф","обвинувачення","обвинуінчення","complaint","accusation"
"розмова","роздому","обговорення","объеворення","conversation","discussion"
"закуска","закунта","обід","обви","snack","lunch"
"поцілунок","поцісонок","обіймати","обідания","kiss","hug"
"гарантія","гарашкія","обіцянка","объеянка","guarantee","promise"
"обладнання","облаккання","обладнувати","облалоувати","equipment","equip"
"відповідальність","відповідвертість","обов'язок","обоврюзок","responsibility","duty"
"образливість","образлвність","ображати","обпожати","insult","offend"
"служба","слніба","обслуговування","обіцуговування","service","maintenance"
"брудний","брланий","огидний","огидайй","dirty","disgusting"
"одиночний","одинтиний","одружений","даружений","single","married"
"річка","кечка","озеро","преро","river","lake"
"море","молв","океан","окeaн","sea","ocean"
"свіжий","сврший","оновити","онсоити","fresh","refresh"
"профіль","профарь","опис","опіт","profile","description"
"опівночі","опцяночі","опівдні","опівіяі","midnight","noon"
"супротив","сукриття","опір","опнi","resistance","resist"
"ворог","воонг","опонент","опімент","enemy","opponent"
"планета","планлла","орбіта","орчита","planet","orbit"
"сортувати","чартувати","організувати","оргавезувати","arrange","organize"
"орендар","оренкур","орендодавець","оренандавець","tenant","landlord"
"наймання","нагнанні","орендувати","ордадувати","hire","rent"
"здоров'я","здоровжб","освіта","осльта","health","education"
"весна","веньа","осінь","ркінь","spring","autumn"
"характер","здрактер","особистість","осялистість","character","personality"
"спочатку","спєбатку","остання","остатья","first","last"
"останній","вітанній","остаточний","останічний","final","ultimate"
"тріщина","трйвина","отворити","отвотати","crack","hole"
"стіл","сткх","офіс","офув","desk","office"
"офіціант","адіціант","офіціантка","офіціантех","waiter","waitress"
"офіційно","фліційно","офіційний","шуіційний","officially","official"
"спостереження","споставляется","оцінка","оцініц","observation","evaluation"
"захоплюватися","захонцюватися","оцінювати","оцнцювати","admire","appreciate"
"чітко","нятко","очевидно","сревидно","clearly","obviously"
"чекати","челити","очікувати","срікувати","wait","expect"
"тверезий","фоерезий","п'яний","ьpяний","sober","drunk"
"інтернет","інтерной","павутина","совутина","internet","web"
"конверт","коиберт","пакет","пасит","envelope","package"
"газ","оуз","паливо","диливо","gas","fuel"
"кабіна","кащена","палуба","палужи","cabin","deck"
"дядько","ведько","папа","пахи","uncle","dad"
"розділ","розпри","параграф","парастан","section","paragraph"
"вибір","вицар","параметр","параїнтр","choice","option"
"надприродливий","дисприродливий","паранормальний","паратьрмальний","supernatural","paranormal"
"стіна","стяла","паркан","паклан","wall","fence"
"кодекс","кококс","пароль","паробу","code","password"
"прийом","прутом","партія","партой","reception","party"
"помада","поддда","парфуми","парфьни","lipstick","perfume"
"квиток","квитит","паспорт","паспіст","ticket","passport"
"охоронець","охороноль","патруль","патрадь","guard","patrol"
"миша","милт","пацюк","патік","mouse","rat"
"рай","лий","пекло","пердо","paradise","hell"
"піхва","піежа","пеніс","емніс","vagina","penis"
"вторинний","втортоний","первинний","пеоринний","secondary","primary"
"недооцінювати","недоклінювати","перебільшувати","переголошувати","underestimate","exaggerate"
"датчик","даитик","передавач","перебачав","sensor","transmitter"
"рухатися","руботися","передача","передомі","move","transfer"
"невдаха","небоаха","переможець","переношень","loser","winner"
"розбити","розника","перерва","перемов","smash","break"
"слідувати","слязувати","переслідувати","перешкодувати","follow","chase"
"радіус","раділк","периметр","перитнтр","radius","perimeter"
"фаза","фаже","період","періря","phase","period"
"погляд","подані","перспективний","здіспективний","view","perspective"
"нирка","нимса","печінка","перьнка","kidney","liver"
"пити","літи","пиво","питт","drink","beer"
"зола","ігла","пил","ейл","ash","dust"
"іржавий","нджавий","пильний","шальний","rusty","dusty"
"читати","адтати","писати","пироти","read","write"
"поет","порц","письменник","письмексик","poet","writer"
"південний","півмінних","північний","півмовний","south","north"
"готовий","готогой","підготувати","підказувати","ready","prepare"
"контакт","контйпт","підключення","підлученням","contact","connection"
"підлітковий","підздоровий","підліток","підїздок","teenage","teenager"
"сумніватися","сумнюдатися","підозрювати","підозірвуть","doubt","suspect"
"печатка","печаріа","підпис","підвёл","stamp","signature"
"мільйонер","мільтенер","підприємець","підприємних","millionaire","entrepreneur"
"відділ","відати","підрозділ","підрозпрос","unit","division"
"відмовляти","відмістити","затверджувати","підкредитувати","check","verify"
"підтвердження","підпорядження","підтверджувати","підкредитувати","confirmation","confirm"
"заповідник","заповідйди","підтримувати","піддрукувати","preserve","maintain"
"космонавт","космонзіт","пілот","ислот","astronaut","pilot"
"альбом","алсьом","пісня","піиея","album","song"
"бруд","бррг","пісок","пільк","mud","sand"
"гвинтівка","оринтівка","пістолет","піхоолет","rifle","gun"
"духовка","дупивка","піч","роч","oven","stove"
"занурений","занувоний","плавати","одавати","drown","swim"
"підготовка","підголовий","планування","пландрання","preparation","planning"
"цемент","цемесу","пластик","пласшок","cement","plastic"
"онук","онлa","племінник","племюзник","grandson","nephew"
"склянка","скуднка","пляшка","плдука","glass","bottle"
"замикання","замиміння","повертатися","повеахатися","back","return"
"шар","ьор","поверхня","провідня","layer","surface"
"увага","увума","повідомлення","повітворення","warning","message"
"доповідь","дополодь","повідомляти","повідіслати","report","inform"
"порожній","поротрій","повний","почуий","empty","full"
"загальний","загарнний","повний","почуий","total","complete"
"абсолютно","счсолютно","повністю","тивністю","absolutely","completely"
"поворот","повоеят","крутити","крквити","turn","rotate"
"добрий","добрач","поганий","покуний","good","bad"
"крадіжка","крадьбка","пограбування","подтабування","theft","robbery"
"явище","узище","подія","помая","phenomenon","event"
"гостинність","гостданість","подяка","пордка","hospitality","gratitude"
"текст","тетот","поема","даема","text","poem"
"благодійність","блігоднїність","пожертвування","пожертневання","charity","donation"
"штраф","тираф","позбавлення волі","посправедливість","penalty","imprisonment"
"статус","статко","позиція","погація","status","position"
"гральний","гребьний","покер","сткер","gambling","poker"
"вставляти","встанаяти","покладати","поклучати","insert","put"
"няня","азня","покоївка","поконюка","nanny","maid"
"продавець","прплавець","покупець","посипець","seller","buyer"
"арена","геена","поле бою","полецфою","arena","battlefield"
"зміна","змлла","поліпшення","полівоення","change","improvement"
"посадка","побідка","політ","позут","landing","flight"
"політика","полінька","політик","попатик","policy","politician"
"журналістика","жухвалістика","політика","поантика","journalism","politics"
"критичний","критенний","політичний","пожатичний","critical","political"
"загальний","загарнний","полковник","поєдовник","general","colonel"
"пожежа","потажа","полум'я","полутця","fire","flame"
"банан","баґен","полуниця","поизниця","banana","strawberry"
"зелений","іслений","помаранчевий","помаранчяний","green","orange"
"страждати","стракеати","померти","поменни","suffer","die"
"похибка","помириа","помилка","помириа","error","mistake"
"підробка","підгроза","помилковий","помириовий","fake","FALSE"
"картопля","картітля","помідор","поездор","potato","tomato"
"секретар","секривар","помічник","поначник","secretary","assistant"
"перемога","перекопе","поразка","поратяа","victory","defeat"
"командування","комаятування","порядок","побідок","command","order"
"завжди","зарїйди","постійно","постання","always","constantly"
"жалюгідний","пелюгідний","потворний","потвортай","disgusting","ugly"
"необхідний","необисдний","потреба","потрожа","necessary","need"
"подвійний","подалений","потрійний","почнійний","double","triple"
"копати","копадк","поховати","потувати","dig","bury"
"труна","шлуна","похоронний","похороский","coffin","funeral"
"слухати","слрчати","почути","подети","listen","hear"
"пояснення","поясувння","правдоподібний","прававподібний","explanation","plausible"
"неправильний","нецьавильний","правильний","правилский","wrong","correct"
"буквально","хоквально","практично","прбитично","literally","practically"
"об'єкт","обозкт","предмет","прпхмет","object","subject"
"канцлер","кауглер","президент","прогидент","chancellor","president"
"кнопок","кнелок","прес","прол","button","press"
"корона","корори","престол","пресайл","crown","throne"
"вітати","віакти","привітати","привощати","congratulate","greet"
"зручний","кіучний","приємний","приєіший","comfortable","pleasant"
"нова","ноое","приз","прбт","nobel","prize"
"відмовляти","відмістити","приймати","придания","refuse","accept"
"попряма","попріда","приклад","приквид","ass","butt"
"чіп","скп","прилад","приліє","chip","device"
"пастка","тестка","приманка","пріванка","trap","bait"
"висновок","висновці","припущення","припьнення","conclusion","assumption"
"ентузіазм","ентузіхам","пристрасть","пристршать","enthusiasm","passion"
"безпека","безмова","притулок","притенок","refuge","shelter"
"прибути","прибави","приходити","прородити","arrive","come"
"результат","базультат","причина","профина","reason","cause"
"псевдонім","псевбінім","прізвище","неузвище","nickname","surname"
"з","кс","про","цио","out","about"
"неприємність","непритомніла","проблема","протнемо","trouble","problem"
"успіх","усхдх","провал","провей","success","failure"
"проект","проедж","програма","простана","project","program"
"дрімати","друшати","прогулянка","прогулміка","nap","stroll"
"запустити","завостити","прогулянка","прогулміка","run","walk"
"купувати","куневати","продавати","прплавати","buy","sell"
"аукціон","roкціон","продаж","продin","auction","sale"
"дотепність","докопність","продовжувати","продовимвати","proceed","continue"
"марка","маста","продукт","продкбт","brand","product"
"показувати","показаде","продуктивність","продуктивнойть","show","performance"
"юрист","ейист","прокурор","прокабор","lawyer","prosecutor"
"виступ","виграф","проповідь","проповорь","speech","sermon"
"рекомендувати","рекокандувати","пропонувати","пропнтувати","propose","suggest"
"просто","просує","простий","просней","simply","simple"
"правила","правтоа","протокол","протокея","rule","protocol"
"модель","могиль","прототип","прототег","model","prototype"
"аматорський","аматормікий","професійний","профстійний","amateur","professional"
"декан","дефон","професор","профятор","dean","professor"
"теплий","тебpий","прохолодний","прохоронних","warm","cool"
"процес","пркрес","процедура","процедода","process","procedure"
"медичний","медивуий","психологічний","психологроний","medical","psychological"
"анатомія","анатомди","психологія","псхнологія","anatomy","psychology"
"метелик","уєтелик","птах","уиах","butterfly","bird"
"задоволення","зайнволення","радість","радіозь","pleasure","joy"
"округ","оклег","район","радян","county","district"
"пухлина","пухляда","рак","зок","tumor","cancer"
"ракета","раждта","ракетний","ракенсий","rocket","missile"
"туалет","иналет","раковина","нсковина","toilet","sink"
"пізно","піито","рано","отно","late","early"
"завтра","затьра","ранок","отнок","tomorrow","morning"
"білка","релка","раноподібний","ратьподібний","squirrel","raccoon"
"генератор","арнератор","реактор","редатор","generator","reactor"
"оптимістичний","оптищестичний","реалістичний","реалектичний","optimistic","realistic"
"справжній","спраконій","реальний","ренньний","TRUE","real"
"підсумок","підвиток","результат","базультат","result","outcome"
"філософія","вилософія","релігія","реергія","philosophy","religion"
"виправляти","виправнати","ремонт","ремога","fix","repair"
"кар'єра","канієра","репутація","речнтація","career","reputation"
"паб","дйб","ресторан","реліоран","pub","restaurant"
"слово","слуго","речення","ресуння","word","sentence"
"акула","акита","риба","изба","shark","fish"
"полювання","потовання","риболовля","риболоайя","hunting","fishing"
"кесар","кечур","рим","вимї","caesar","rome"
"значок","значем","рівномірний","рівнквірний","badge","uniform"
"потік","рятік","рідина","гoдина","liquid","fluid"
"зрідка","зранка","рідко","рінто","occasionally","rarely"
"виробляти","вироджяти","робити","тебити","make","do"
"фермер","фенцер","робітник","родотник","farmer","worker"
"праця","ростта","робота","ростта","job","work"
"падіння","ердіння","розвал","розняв","fall","collapse"
"прогрес","проднем","розвиток","роззвимо","progress","development"
"календар","кантндар","розклад","роззван","calendar","schedule"
"розмова","роздому","розмовляти","розтворити","talk","speak"
"сказати","сказіви","розповідати","роздавивати","say","tell"
"рахувати","ратавати","розраховувати","розвойовувати","count","calculate"
"розрив","розлік","розрізати","роззвести","tear","cut"
"вивчати","випроти","розслідувати","розшкодувати","examine","investigate"
"місце","мівже","розташування","розвідування","place","location"
"кмітливий","срітливий","розумний","розвонит","smart","intelligent"
"ярмарок","яропрок","розумний","розвонит","fair","reasonable"
"сюрприз","сюрпецi","розчарування","роздозування","surprise","disappointment"
"драматичний","друзатичний","романтичний","романтенний","dramatic","romantic"
"створення","стобрення","руйнування","лайнування","creation","destruction"
"ручний","исчний","ручка","рухоа","hand","arm"
"папір","пайтр","ручка","рухоа","paper","pen"
"ковдра","коезра","рушник","руетик","blanket","towel"
"герой","аррой","рятівник","рялавник","hero","savior"
"шпигунство","шпигунiвво","саботаж","садятаж","espionage","sabotage"
"суп","тап","салат","сагут","soup","salad"
"єдиний","єдвгий","самотній","самогиій","alone","lonely"
"ніндзя","ніндос","самурай","садорай","ninja","samurai"
"миля","миме","сантиметр","сантимзар","mile","centimeter"
"корова","короіе","свиня","свгая","cow","pig"
"ріг","онг","свисток","тристок","horn","whistle"
"свідок","свідал","свідчення","свлючення","witness","testimony"
"міжнародний","спінародний","світ","свис","international","world"
"захід сонця","захіпісонця","світанок","світанут","sunset","dawn"
"лампа","латеа","свічка","свелка","lamp","candle"
"різдвяний","різдeбний","свято","свгло","christmas","holiday"
"монах","моших","священик","свящящик","monk","priest"
"табір","тагер","село","усло","camp","village"
"парламент","пагоамент","сенат","севит","parliament","senate"
"губернатор","губерницор","сенатор","семотор","governor","senator"
"кров","паов","сеча","туча","blood","urine"
"дим","цем","сигара","сидіра","smoke","cigar"
"тютюн","тюврн","сигарета","сигарезо","tobacco","cigarette"
"частота","злстота","сигнал","сизвал","frequency","signal"
"сповіщення","сповосення","сигналізація","сигналграція","alert","alarm"
"стояти","стбути","сидіти","сигати","stand","sit"
"міць","рець","сила","опла","strength","force"
"міцно","міпро","сильно","сильку","firmly","strongly"
"важкий","ваєвий","сильно","сильку","heavy","heavily"
"прапор","пругор","символ","симвпу","flag","symbol"
"дочка","дохна","син","льун","daughter","son"
"симптом","симпьюм","синдром","нокдром","symptom","syndrome"
"коричневий","ковічневий","синій","пеній","brown","blue"
"дряпати","дрбкати","синяк","есняк","scratch","bruise"
"хліб","хляж","сир","ьор","bread","cheese"
"мережа","мереяю","система","систада","network","system"
"молочний","моловуий","сік","шук","milk","juice"
"клан","ркан","сім'я","сікея","clan","family"
"плітки","снітки","скандал","сковдал","gossip","scandal"
"збільшити","збілтрити","скорочувати","скоружувати","increase","reduce"
"стриманий","стритуний","скромний","скроблий","humble","modest"
"сильний","звльний","слабкий","слабовй","strong","weak"
"славний","славлюй","слава","слжна","glorious","glory"
"раб","ьдб","слуга","слмна","slave","servant"
"апетитний","яретитний","смачний","смгений","tasty","delicious"
"кошик","ковчк","сміття","смиртя","trash","garbage"
"усмішка","устяшка","сміятися","смветися","smile","laugh"
"шутер","нітер","снайпер","храйпер","shooter","sniper"
"дощ","ьцщ","сніг","снрх","rain","snow"
"обід","обьім","сніданок","сніденну","dinner","breakfast"
"лимонад","дімонад","сода","сомб","lemonade","soda"
"місяць","міраць","сонце","союче","moon","sun"
"місячний","мінечний","сонячний","солдчний","lunar","solar"
"крем","круж","соус","сожр","cream","sauce"
"лазанья","лазаждя","спагетті","спаглаті","lasagna","spaghetti"
"кімната","учмната","спальня","спалайя","room","bedroom"
"хаос","хаєш","спантеличеність","ужантеличеність","chaos","confusion"
"вдячний","вдшиний","спасибі","спасйті","grateful","thank"
"спокійний","спокманий","спати","итати","rest","sleep"
"експерт","експиши","спеціаліст","спеціаліза","expert","specialist"
"терпіння","теісіння","співчуття","співкрити","patience","compassion"
"навігація","навіавція","спілкування","спаркування","navigation","communication"
"суспільство","сустільного","спільнота","спільниса","society","community"
"спокійно","спокочно","спокійний","спокманий","quiet","calm"
"хобі","хоун","спорт","сплит","hobby","sport"
"помститися","порутитися","справедливість","справедлчність","revenge","justice"
"голод","гоойд","спрага","спрахy","hunger","thirst"
"спробувати","спрольвати","спроба","спровї","try","attempt"
"золотий","зологій","срібло","сропло","golden","silver"
"думка","дусна","ставлення","стюблення","opinion","attitude"
"бетон","яштон","сталь","стноь","concrete","steel"
"платформа","платфозка","станція","станкая","platform","station"
"виникнути","винишпути","статися","струися","occur","happen"
"пам'ятник","панзятник","статуя","статєї","monument","statue"
"монстр","монсal","створіння","стводання","monster","creature"
"ритм","риьс","стиль","стечь","rhythm","style"
"тисяча","тисяиш","сто","тко","thousand","hundred"
"заважати","заваноти","стоп","ствo","prevent","stop"
"ударити","кварити","страйк","страцi","hit","strike"
"планувати","планецати","стратегія","стратервя","plan","strategy"
"жах","ржх","страх","стших","horror","fear"
"підйом","піддеш","стрибок","ворибок","climb","jump"
"піраміда","пірамімо","структура","структейа","pyramid","structure"
"судовий","судомой","судити","редити","court","judge"
"екіпаж","екулаж","судно","сумео","crew","ship"
"слух","сляд","судовий процес","судовийпробуем","hearing","trial"
"спідниця","спишниця","сукня","суфпя","skirt","dress"
"число","вусло","сума","сужд","sum","amount"
"поєднання","поєддайте","суміш","таміш","combination","mixture"
"конфлікт","конфліск","суперечка","супережеа","conflict","dispute"
"ескорт","алкорт","супроводжувати","супровождается","escort","accompany"
"радар","рахер","супутник","сувотник","radar","satellite"
"західний","завядний","східний","схерний","west","east"
"покривати","секривати","сховатися","рговатися","cover","hide"
"капсула","капсжка","таблетка","таблочка","tablet","pill"
"секретний","секрцений","таємниця","таавниця","secret","mystery"
"детонатор","астонатор","таймер","таерер","detonator","timer"
"гаразд","гаратч","так","няк","okay","yeah"
"потенціал","потерсіал","талант","таласу","potential","talent"
"тут","янт","там","рем","here","there"
"танцівниця","таорівниця","танцювати","таінювати","dancer","dance"
"чаша","киша","тарілка","ндрілка","bowl","plate"
"звір","звes","тварина","твсвина","beast","animal"
"уява","езва","творчість","творвусть","imagination","creativity"
"кінотеатр","кірстеатр","театр","здатр","cinema","theater"
"радіо","рарго","телебачення","теленичення","radio","television"
"зателефонувати","зателеикнувати","телефон","телерін","call","telephone"
"тінь","тіво","темний","теіший","shadow","dark"
"тепло","теяго","температура","термература","heat","temperature"
"гольф","іальф","теніс","йоніс","golf","tennis"
"ідея","ідпу","теорія","теорди","idea","theory"
"експеримент","експерервна","тестування","тестадання","experiment","test"
"метод","мерёд","техніка","технама","method","technique"
"місяць","міраць","тиждень","тисцень","month","week"
"пульс","пунес","тиск","типе","pulse","pressure"
"шкіра","шкєва","тканина","eканина","skin","tissue"
"тонкий","ранкий","товстий","тонетий","thin","thick"
"комерційний","кометкійний","торговець","торговщиь","commercial","merchant"
"ураган","ураглі","торнадо","товеадо","hurricane","tornado"
"десерт","дейкрт","торт","тові","dessert","cake"
"рана","рате","травма","травніє","wound","injury"
"сумний","суіший","трагічний","трагланий","sad","tragic"
"сучасний","сучаснов","традиційний","трулиційний","modern","traditional"
"кола","обла","трикутник","трчнутник","circle","triangle"
"тіло","згло","труп","триі","body","corpse"
"один","лоин","три","чеи","one","three"
"хмара","зхара","туман","туєтн","cloud","fog"
"міст","міве","тунель","туємль","bridge","tunnel"
"занепокоєння","занепокоійня","турбота","турбана","concern","worry"
"переривати","перегадати","турбувати","тустувати","interrupt","disturb"
"штовхати","штовійти","тягнути","тягншки","push","pull"
"отрута","отвiта","убити","рдити","poison","kill"
"заручниця","загичниця","ув'язнений","увбiзнений","hostage","prisoner"
"договір","догодар","угоду","угачу","contract","agreement"
"пляжний","плірний","узбережжі","узберепті","beach","coast"
"коледж","колеур","університет","універкатет","college","university"
"особливий","особповий","унікальний","унршальний","special","unique"
"адміністрація","адміністенція","уряд","урнщ","administration","government"
"порятунок","потатунок","урятувати","уримувати","rescue","save"
"спадщина","спадеена","успадковувати","непадковувати","heritage","inherit"
"зберігати","саерігати","утримувати","утьсмувати","hold","keep"
"пошта","поєда","факс","інкс","mail","fax"
"реальність","реальненть","фантазія","фантазди","reality","fantasy"
"чудовий","чудодай","фантастичний","фабрастичний","wonderful","fantastic"
"смертельний","чеертельний","фатальний","файтльний","deadly","fatal"
"колонія","коатнія","федерація","федеенція","colony","federation"
"карнавал","каогавал","фестиваль","дістиваль","carnival","festival"
"сексуальний","сексмільний","фізичний","фізитиий","sexual","physical"
"порно","поупо","фільм","вельм","porn","movie"
"банківський","баанівський","фінансовий","винансовий","banking","financial"
"бюджет","бюзует","фінансування","фінаудування","budget","funding"
"фінансово","винансово","фінансування","фінаудування","financially","financing"
"морський","мокрький","флот","адот","naval","fleet"
"корабель","корабезп","флот","адот","marine","navy"
"автограф","однограф","фотограф","фоторвав","autograph","photographer"
"картина","картвоа","фотографія","фотознания","picture","photo"
"словник","слугник","фраза","фреба","dictionary","phrase"
"англійська мова","англійськашвова","французький","францусский","english","french"
"яблучний","мллучний","фрукти","фрукат","apple","fruit"
"оперативний","оператобний","функціональний","футиціональний","operational","functional"
"баскетбол","баллетбол","футбол","сдтбол","basketball","football"
"другий","дролий","хвилина","хвєдина","second","minute"
"нездоровий","недеоролик","хворий","хвакий","ill","sick"
"здобич","здобои","хижак","хивек","prey","predator"
"працювати","превювати","хірургія","хірунзія","operate","surgery"
"дівчина","ливчина","хлопчик","хлопадк","girl","boy"
"гарячий","гапечий","холодний","булодний","hot","cold"
"благородний","благорівний","хоробрий","хорозкий","noble","brave"
"католицький","католиччкий","християнин","христиноин","catholic","christian"
"тканина","тканійа","хустка","хутрка","cloth","handkerchief"
"могила","моолла","цвинтар","млинтар","grave","cemetery"
"мозок","мотак","церебральний","цереплальний","brain","cerebral"
"ритуальний","рииральний","церемонія","жаремонія","ritual","ceremony"
"часник","кисник","цибуля","цибурх","garlic","onion"
"культура","кульшора","цивілізація","циублізація","culture","civilization"
"наївний","наодний","цинічний","нанічний","naive","cynical"
"зоопарк","зоопмик","цирк","циоу","zoo","circus"
"захоплюючий","захоплдячий","цікавий","квкавий","exciting","interesting"
"вартість","вартизть","ціна","онна","value","price"
"привабливий","привтеливий","чарівний","чативний","attractive","charming"
"магія","маоля","чарівник","чативник","magic","wizard"
"матерія","матеття","частка","кистка","matter","particle"
"іноді","інмні","часто","злсто","sometimes","often"
"конкуренція","конкуррація","чемпіонат","чемпіоіст","competition","championship"
"хребетний","стебетний","черевний","черениий","spinal","abdominal"
"кістка","учстка","череп","чеьнп","bone","skull"
"равлик","раітик","черепаха","череайха","snail","turtle"
"пристойний","придвійний","чесний","чеснов","decent","honest"
"лояльність","фіяльність","чесність","чеснееть","loyalty","honesty"
"привілей","привмрей","честь","смсть","privilege","honor"
"третій","трвсій","четвертий","четверенй","third","fourth"
"підводний човен","підответственно","човен","чоррн","submarine","boat"
"білий","еслий","чорний","бирний","white","black"
"два","єра","чотири","чобари","two","four"
"винятковий","вичітковий","чудовий","чудогой","exceptional","remarkable"
"приємний","приєіший","чудовий","чудогой","nice","lovely"
"НЛО","яро","чужий","чумбй","ufo","alien"
"делікатний","еллікатний","чутливий","чутливно","delicate","sensitive"
"виноробство","винорозмтво","шампанське","шарианське","wine","champagne"
"хабар","рібар","шантаж","шантмн","bribe","blackmail"
"кабінет","каткнет","шафа","алфа","cabinet","closet"
"змагання","жеагання","шахрайство","шаечайство","conspiracy","fraud"
"повільний","погольний","швидкий","швонкий","slow","fast"
"відстань","відглянь","швидкість","узидкість","distance","speed"
"повільно","повільку","швидко","швечко","slowly","quickly"
"готувати","гоховати","шеф-кухар","шефкулир","cook","chef"
"горло","гояно","шийка","рэйка","throat","neck"
"вузький","вуаткий","широкий","широтай","narrow","wide"
"клас","кляю","школу","шкугу","class","school"
"насос","найтс","шланг","зданг","pump","hose"
"розлучення","рознесення","шлюб","шлбi","divorce","marriage"
"фрагмент","фрнумент","шматок","шмочок","fragment","piece"
"цукор","ушкор","шоколад","шооблад","sugar","chocolate"
"дорога","дорози","шосе","шопл","road","highway"
"голка","силка","шприц","орриц","needle","syringe"
"татуювання","татускання","шрам","cлам","tattoo","scar"
"база","бами","штаб-квартира","штаббиартира","base","headquarters"
"вітер","віртр","штурм","шткум","wind","storm"
"природний","прирівний","штучний","штюзний","natural","artificial"
"задоволений","захвволений","щасливий","сисливий","satisfied","happy"
"вже","кне","ще","ює","already","still"
"співчувати","співсунути","щедрий","щедраж","compassionate","generous"
"що саме","яб","що","яб","what","that"
"губа","гуще","щока","щове","lip","cheek"
"ніщо","нісщ","щось","щове","nothing","something"
"щодня","щороя","щотижня","ідтижня","daily","weekly"
"атомний","ідомний","ядерний","пiерний","atomic","nuclear"
"гніздо","гнаддо","яйце","акце","nest","egg"
"кількість","кірокість","якість","якубть","quantity","quality"
"блиск","блчак","яскравий","яскримий","shine","bright"
"жаба","жамн","ящірка","ящмека","frog","lizard"
